x,y
1879,2245
2435,2285
331,1608
1279,1125
465,2014
894,1245
1500,1666
2373,1730
1813,1012
2245,2399
1928,1974
856,675
1688,66
1372,1787
1928,465
719,1100
2139,2106
228,1705
362,1767
1819,665
828,2236
516,1966
650,1528
1950,1873
468,2355
362,2394
2028,1821
1300,1298
2360,2348
2491,1750
781,1955
2410,1418
2357,2177
993,2117
2382,1644
1269,2020
1412,503
656,2067
1015,1656
600,117
1538,1169
653,981
2363,1153
2185,341
103,1759
899,506
2076,1689
2126,2120
703,1184
458,2114
1987,1435
887,979
924,1631
159,2182
377,2162
2129,1629
218,1078
2260,989
483,1158
1415,2280
458,1180
2260,2416
1008,2315
1128,1912
377,1316
1903,793
930,1790
1100,1478
2400,839
1008,1974
1321,2219
374,1419
508,2169
512,706
327,1071
2422,219
1053,1097
1346,1013
874,1574
1775,1728
302,1223
2244,1435
1106,169
2403,314
1952,1309
765,2352
227,1528
380,2322
2135,851
2066,822
1262,1200
1299,1190
780,2222
2021,721
1433,920
515,1783
593,1983
746,1679
1349,2048
883,2194
1508,1703
1040,997
2487,424
364,1381
1249,2309
2203,1809
1399,1295
2147,2291
1330,786
1224,273
1014,1323
1634,1860
1109,2414
1302,1428
2097,2259
398,1706
1037,1453
99,2265
945,1949
942,1063
398,1
2368,1790
1246,1932
861,690
2181,1456
1880,966
2011,1840
602,350
655,456
770,1422
2081,725
2036,1144
2106,0
1877,2108
1252,1583
1805,539
901,2009
11,1499
1920,1695
580,1176
1392,398
820,1711
764,2361
661,1389
1855,1857
1989,1503
2262,502
711,1863
1995,2486
276,2400
1105,2040
633,2235
1342,2259
2243,455
1945,2486
1596,454
2287,1594
1646,2173
1451,1137
1033,756
351,1065
648,1622
982,873
394,1486
1914,1668
823,175
1602,1858
1842,981
1929,2278
1016,1971
767,850
2115,1675
829,1643
1454,102
1867,1687
670,1713
804,1603
1214,1074
1507,1028
2308,62
98,1146
545,1977
854,941
1513,1711
266,138
1580,1671
2049,1358
1485,1329
1013,1220
2411,306
76,436
751,1624
782,2436
2498,638
654,1083
947,1071
1357,1608
1823,67
866,1189
760,672
1957,1117
1592,1279
428,392
2389,1784
2264,2291
2364,1790
1288,1484
1857,1261
760,1339
1804,812
919,822
757,1853
1642,1849
997,238
2317,1020
2174,497
819,1430
1338,170
2007,2488
1497,1611
506,2158
906,2154
1882,2050
2457,122
147,2178
194,1731
2136,439
2189,403
641,1408
1888,995
585,1222
166,2405
2038,1365
2108,1829
353,2402
2058,2274
66,213
2161,1345
1207,1762
2354,2193
1006,2101
1841,620
1101,1472
1813,526
2488,638
1928,1708
1456,1129
588,2221
2298,873
337,1183
2195,2213
2139,423
1838,1870
1782,1820
1623,280
775,1384
766,2363
2226,1869
1409,1238
781,2435
1378,2497
2073,2074
747,2202
1060,601
1459,108
2028,1547
968,1585
396,10
2301,2116
253,537
1012,2062
181,1272
1219,1080
421,681
1788,1727
1509,906
137,1378
1038,2244
1654,336
1325,2448
2070,1796
2363,778
678,2295
1610,282
1018,1290
2444,1309
2232,2411
1654,1855
1937,2414
1797,1314
943,2289
162,698
365,1377
2034,1706
1063,948
971,1508
2344,1997
1856,1626
1437,1459
480,473
756,1634
2279,1031
2416,2135
818,2173
1044,1127
477,484
1588,1636
371,97
2173,1445
212,1435
768,2145
2394,718
762,2350
2341,453
237,696
2366,1896
905,1232
2456,896
2260,2190
1334,2210
949,2112
2291,920
2425,398
2353,1357
1187,2340
2138,2361
1524,791
846,831
1837,2338
249,1893
1293,1476
1150,1993
562,1358
2191,906
486,1726
2085,179
1784,899
537,1376
1505,1638
2297,53
2350,41
1553,720
1131,1004
1005,1995
693,57
1887,1085
1709,2297
1952,718
1553,1085
336,1598
2294,1946
1265,2143
799,1137
2356,1257
618,2420
2490,295
1949,239
833,319
1215,1729
780,1890
2409,333
1974,322
1190,1757
1893,402
208,1431
1581,2128
1196,2290
1017,571
71,40
311,729
1821,70
1796,2152
1115,943
1631,1391
917,809
236,1828
1087,269
426,1268
1514,791
677,1917
2128,1680
1799,1696
2181,682
2278,1766
524,716
948,604
2056,604
1358,1507
2415,2419
242,1931
892,817
664,1382
2150,1343
1662,1800
1074,273
599,1390
36,148
257,242
1080,1164
279,2349
2374,1797
667,1300
558,467
332,1485
742,1664
1817,666
1033,1931
1552,2293
1127,75
2168,1035
223,1141
1457,91
779,51
742,47
1501,1638
514,1552
857,1227
1304,1414
2026,499
2308,2481
2227,2307
2405,1512
810,1346
391,1315
2140,2367
782,1956
2199,66
1898,88
1739,1492
941,637
1404,1517
101,2268
897,511
182,1635
1655,1124
157,1683
1558,719
135,2311
2389,2429
1798,222
475,1392
701,2390
2417,1304
1826,2339
347,2277
138,1376
953,2053
2174,235
1463,1027
1723,1002
732,1039
2192,2293
347,1067
1142,1734
953,1698
2149,2299
2130,117
2476,1929
478,1927
1185,1827
863,1860
1104,1853
2420,222
1729,1326
1095,1861
1335,1018
2376,924
797,2222
1291,1136
1009,2056
1235,1042
2242,637
1779,1617
2248,1930
697,2395
2239,1944
1576,1681
585,2226
2304,2467
1082,1298
1009,1234
1216,768
2044,1310
203,2495
669,1386
1863,1682
2273,1139
19,1145
1126,2466
2270,1253
644,1420
959,1505
747,39
362,203
1263,1207
781,2221
535,2026
424,1962
747,2432
1459,322
1085,260
613,2391
1844,1851
421,835
1200,1190
781,1527
1041,1894
100,1158
2407,1178
1191,1196
2142,425
1585,1633
56,1060
1509,1625
619,2011
1931,2278
1200,2156
402,1495
831,2246
2494,757
2095,226
1072,1791
1635,1396
1672,1226
2104,271
505,780
553,1342
2182,854
737,2205
890,973
1337,1674
433,1640
1881,1093
352,1560
2366,1538
1809,532
1613,518
190,1628
2341,1556
1334,41
1278,2495
2456,662
349,1189
1959,2435
1518,1829
2319,1849
2107,271
2397,2037
1591,480
634,1412
1150,2116
2194,1717
821,172
2291,1739
1547,70
1840,972
1524,621
1056,1595
1837,2060
1106,2070
1921,1657
2353,28
1678,1423
1480,1382
1131,1234
283,194
2378,1884
380,1862
1818,814
914,1740
1343,969
1011,1392
1324,2439
2225,427
1647,159
2116,2480
15,1692
1924,1946
515,700
2197,69
492,75
1430,1067
333,1481
2275,1041
1977,1564
1224,2434
2247,1135
1896,1996
74,423
2406,724
1330,1318
749,766
1634,1400
1305,1288
989,1807
1824,2344
311,295
1734,2415
99,1765
883,820
811,2023
1302,1856
546,956
317,2142
1687,1931
1980,759
1631,1605
1196,1190
1696,38
370,1052
1740,1579
2315,1013
1020,1190
2005,2489
2181,900
501,1783
1121,786
574,1700
1024,1917
376,127
429,395
1118,1953
929,1987
2175,2013
2365,2173
429,1648
2078,566
998,99
507,1604
2424,1898
1470,1229
1643,147
248,1832
1498,974
561,2313
2014,270
1908,789
1702,2300
239,1822
2137,436
2377,485
1889,96
826,50
111,44
2215,1577
1102,1547
1058,1717
1211,2041
2249,1431
2090,1941
1529,1166
957,1677
1842,489
226,1529
2327,1836
2464,1374
539,1224
779,1881
2299,2397
514,1274
1482,1512
1599,1479
1401,1688
2202,1718
804,1175
1479,1477
419,1267
2168,2135
2274,1772
400,1145
1839,969
2202,13
916,2129
1239,121
76,2341
854,1892
748,2207
104,370
1019,2399
2302,1753
2143,1759
1360,2417
729,2302
2392,721
567,1462
1851,1625
2074,1609
76,1651
2205,525
1019,1541
707,1607
2233,2280
1173,2002
1385,1428
1832,725
841,2294
1617,277
813,2312
2183,491
1988,756
738,1678
2102,217
2395,65
1907,1532
1545,65
2457,550
2189,935
978,2155
1129,1005
1335,2213
2323,1830
735,1285
2401,2030
778,1530
63,1140
1548,725
847,56
2460,208
669,1140
588,1380
563,1354
72,2351
1166,2379
1579,1322
2441,1730
1953,1869
25,147
1409,2287
362,1432
2028,2143
1788,1235
315,726
1353,1562
1244,113
1138,1740
340,1155
2073,1976
921,1786
1197,2417
1869,2279
1018,1854
446,1855
1153,1739
1141,2228
1072,2021
653,1208
1063,2029
1097,2102
768,242
2040,2242
1987,1629
890,743
943,1619
550,1351
1247,2394
433,831
2447,769
1521,792
1541,1487
271,199
2037,1392
109,2430
1912,2155
1772,1495
1959,2217
1884,2065
146,111
1912,1542
2054,1020
1903,2044
2079,91
2372,215
1834,2069
62,1951
2347,2287
2291,1953
1946,1875
961,2391
643,459
1644,2323
18,964
1812,1683
1131,1464
1793,605
68,1150
2375,1026
1106,1482
933,62
2200,62
1952,250
1262,909
2409,2492
1243,2375
1843,1856
2169,776
1458,222
2462,813
1349,1315
1849,2219
1011,2364
130,1843
74,209
1999,1433
1109,1943
2309,2482
671,684
1556,714
2247,446
752,1632
1796,217
858,933
2027,2265
2247,2083
1374,1600
970,870
398,1479
2496,2445
624,1849
186,2412
2128,364
105,2420
192,1625
2050,2463
1871,2238
1559,72
1640,1108
164,1559
1146,1745
1199,585
1020,2298
1333,967
948,1435
217,1431
892,1381
304,2246
1983,1949
976,2160
2187,863
1001,1731
2284,2393
1939,1307
1590,1317
1099,1402
1618,806
1392,1728
2218,2499
1470,1511
892,2195
248,1598
301,588
926,65
1908,99
460,2035
2458,1993
201,2492
820,2087
2103,2261
379,133
798,2227
1004,1776
845,1716
2134,2374
1727,1322
2455,804
1010,2317
1942,1307
1298,1486
1923,1985
1192,1200
2249,38
1136,1074
2355,1274
1242,118
1348,751
338,1156
472,174
592,1659
1435,1289
651,1510
545,895
729,1694
935,1402
2492,764
748,2437
2068,2279
1111,2069
1248,1989
969,548
726,2301
2358,29
994,81
888,980
101,1157
397,2008
2339,1760
1558,1275
2180,676
751,1343
1270,325
2445,776
1592,1857
1276,2490
2230,1866
2417,337
922,2296
1963,2218
2205,1916
1491,393
1717,1519
2152,2286
601,1983
548,2194
2211,523
2105,12
1463,1655
1145,2106
813,2162
1123,2470
2127,2483
7,1943
1670,1134
2289,1813
710,825
1545,1296
632,2241
1969,432
2136,724
1944,2494
2426,1550
1210,1588
2214,11
2401,1776
1913,115
2242,1588
956,1608
557,59
1297,396
1241,2370
303,1235
1107,2409
535,2256
937,1002
1623,1242
2201,555
44,1563
1012,1781
544,947
2360,1156
1666,2496
2048,1478
1953,2300
753,1847
2092,715
334,1396
474,2352
2276,1812
2170,499
1353,1292
1629,1851
725,1209
1956,2441
2179,909
2472,129
1894,385
2170,1942
940,1900
1875,2107
591,672
1582,2119
1610,600
1557,63
287,2007
1741,1566
1412,514
2070,97
678,1488
427,388
321,153
597,1760
1135,2488
2416,1417
159,965
1197,1189
971,195
952,2425
597,261
1791,1401
1616,819
2006,2484
1275,2234
1588,441
352,1076
1722,2039
1406,1140
1496,977
2207,238
2394,483
2126,2010
2419,76
1881,2062
2366,581
1449,1745
349,1689
1234,2453
433,2254
1521,1711
1940,749
893,2012
1340,1309
1181,1823
1075,260
690,1818
374,467
1884,834
2213,1871
2353,2179
2018,332
1296,1606
687,59
2272,600
1644,2169
1365,1640
2024,724
1452,1125
2403,1426
2244,1942
1265,1776
534,1845
1502,1819
1622,276
668,1407
1343,1309
2350,778
2437,1733
1650,1849
587,1385
155,2188
1781,893
511,1873
2297,2477
1656,1134
1647,1124
1665,1054
395,6
339,2120
1011,2066
314,954
833,1114
983,2120
2406,1248
1762,2465
1017,1785
